"_source/@timestamp","_source/netflow/tcp_flags","_source/netflow/flowset_id","_source/netflow/l4_src_port","_source/netflow/last_switched","_source/netflow/ipv4_dst_addr","_source/netflow/first_switched","_source/netflow/version","_source/netflow/protocol","_source/netflow/output_snmp","_source/netflow/in_bytes","_source/netflow/flow_seq_num","_source/netflow/l4_dst_port","_source/netflow/ipv4_src_addr","_source/netflow/input_snmp","_source/netflow/ip_protocol_version","_source/netflow/in_pkts","_source/host","_source/netflow/ipv6_src_addr","_source/netflow/ipv6_dst_addr","Anomaly"
2018-04-05 12:44:01,27,1024,22,2018-04-05 12:38:23,"192.168.1.102",2018-04-05 12:38:11,9,6,0,3173,91,33272,"192.168.1.108",0,4,25,"127.0.0.1",NA,NA,0
2018-04-05 12:44:01,0,1024,53,2018-04-05 12:38:45,"192.168.1.111",2018-04-05 12:37:55,9,17,0,238,97,56689,"8.8.8.8",0,4,2,"127.0.0.1",NA,NA,0
2018-04-05 12:43:01,31,1024,443,2018-04-05 12:40:18,"192.168.1.108",2018-04-05 12:39:18,9,6,0,4060,57,51884,"192.30.253.117",0,4,8,"127.0.0.1",NA,NA,0
2018-04-05 12:43:01,26,1024,53216,2018-04-05 12:40:18,"192.30.253.112",2018-04-05 12:39:18,9,6,0,1223,57,443,"192.168.1.108",0,4,11,"127.0.0.1",NA,NA,0
2018-04-05 12:41:01,0,1024,123,2018-04-05 12:35:47,"192.168.1.108",2018-04-05 12:35:47,9,17,0,76,19,60033,"91.189.94.4",0,4,1,"127.0.0.1",NA,NA,0
2018-04-05 12:56:01,27,1024,22,2018-04-05 12:50:47,"192.168.1.102",2018-04-05 12:50:34,9,6,0,3173,341,33574,"192.168.1.108",0,4,25,"127.0.0.1",NA,NA,0
2018-04-05 12:56:01,27,1024,22,2018-04-05 12:50:45,"192.168.1.102",2018-04-05 12:50:32,9,6,0,3173,341,33570,"192.168.1.108",0,4,25,"127.0.0.1",NA,NA,0
2018-04-05 12:56:01,27,1024,33566,2018-04-05 12:50:27,"192.168.1.108",2018-04-05 12:50:13,9,6,0,2310,334,22,"192.168.1.102",0,4,18,"127.0.0.1",NA,NA,1
2018-04-05 12:56:01,0,1024,38636,2018-04-05 12:50:43,"216.58.212.3",2018-04-05 12:50:28,9,17,0,5049,334,443,"192.168.1.108",0,4,10,"127.0.0.1",NA,NA,0
2018-04-05 12:56:01,27,1024,22,2018-04-05 12:50:05,"192.168.1.102",2018-04-05 12:49:52,9,6,0,3173,328,33556,"192.168.1.108",0,4,25,"127.0.0.1",NA,NA,0
2018-04-05 12:56:01,0,1024,5353,2018-04-05 12:50:45,"224.0.0.251",2018-04-05 12:50:45,9,17,0,169,341,5353,"192.168.1.108",0,4,1,"127.0.0.1",NA,NA,0
2018-04-05 12:56:01,27,1024,33570,2018-04-05 12:50:45,"192.168.1.108",2018-04-05 12:50:32,9,6,0,2310,341,22,"192.168.1.102",0,4,18,"127.0.0.1",NA,NA,1
2018-04-05 12:59:01,27,1024,22,2018-04-05 12:53:23,"192.168.1.102",2018-04-05 12:53:12,9,6,0,3173,380,33640,"192.168.1.108",0,4,25,"127.0.0.1",NA,NA,0
2018-04-05 12:59:01,27,1024,22,2018-04-05 12:53:23,"192.168.1.102",2018-04-05 12:53:12,9,6,0,3173,374,33634,"192.168.1.108",0,4,25,"127.0.0.1",NA,NA,0
2018-04-05 12:59:01,0,1024,137,2018-04-05 12:53:38,"192.168.1.255",2018-04-05 12:52:14,9,17,0,702,380,137,"192.168.1.103",0,4,9,"127.0.0.1",NA,NA,0
