"_source/@timestamp","_source/netflow/tcp_flags","_source/netflow/l4_src_port","_source/netflow/ipv4_dst_addr","_source/netflow/in_bytes","_source/netflow/l4_dst_port","_source/netflow/ipv4_src_addr","_source/netflow/in_pkts","Anomaly"
2018-04-05 13:04:01,0,57216,"239.255.255.250",800,1900,"192.168.1.108",4,0
2018-04-05 13:04:01,27,22,"192.168.1.102",3173,33764,"192.168.1.108",25,0
2018-04-05 13:04:01,27,22,"192.168.1.102",3173,33750,"192.168.1.108",25,0
2018-04-05 13:04:01,27,22,"192.168.1.102",3173,33760,"192.168.1.108",25,0
2018-04-05 13:04:01,27,22,"192.168.1.102",3173,33758,"192.168.1.108",25,0
2018-04-05 13:04:01,31,443,"192.168.1.108",4634,54152,"103.15.158.129",11,0
2018-04-05 13:04:01,0,64382,"239.255.255.250",459,1900,"192.168.1.101",3,0
2018-04-05 13:07:01,27,42038,"151.101.36.84",2563,443,"192.168.1.108",11,0
2018-04-05 13:07:01,27,22,"192.168.1.102",3173,33836,"192.168.1.108",25,0
2018-04-05 13:07:01,0,47127,"172.217.17.174",3733,443,"192.168.1.108",8,0
2018-04-05 13:07:01,27,33824,"192.168.1.108",2310,22,"192.168.1.102",18,1
2018-04-05 13:07:01,27,22,"192.168.1.102",3173,33840,"192.168.1.108",25,0
2018-04-05 13:07:01,27,33842,"192.168.1.108",2310,22,"192.168.1.102",18,1
2018-04-05 13:07:01,27,33820,"192.168.1.108",2310,22,"192.168.1.102",18,1
2018-04-05 13:07:01,0,35860,"216.58.206.174",4049,443,"192.168.1.108",7,0
2018-04-05 13:07:01,27,33830,"192.168.1.108",2310,22,"192.168.1.102",18,1
2018-04-05 13:07:01,27,22,"192.168.1.102",3173,33842,"192.168.1.108",25,0
2018-04-05 13:05:01,27,33786,"192.168.1.108",2310,22,"192.168.1.102",18,1
2018-04-05 13:05:01,0,443,"192.168.1.108",1558,45452,"216.58.206.206",4,0
2018-04-05 13:05:01,27,22,"192.168.1.102",3173,33794,"192.168.1.108",25,0
2018-04-05 13:05:01,0,443,"192.168.1.108",1558,53344,"216.58.206.163",4,0
2018-04-05 13:05:01,27,33772,"192.168.1.108",2310,22,"192.168.1.102",18,1
2018-04-05 13:05:01,27,49448,"192.168.1.1",2186,80,"192.168.1.108",20,0
2018-04-05 13:05:01,27,33782,"192.168.1.108",2310,22,"192.168.1.102",18,1
2018-04-05 13:05:01,27,22,"192.168.1.102",3173,33782,"192.168.1.108",25,0
2018-04-05 13:05:01,0,36508,"172.217.169.131",2902,443,"192.168.1.108",4,0
2018-04-05 13:10:01,27,22,"192.168.1.102",3173,33898,"192.168.1.108",25,0
2018-04-05 13:10:01,27,33900,"192.168.1.108",2310,22,"192.168.1.102",18,1
2018-04-05 13:10:01,27,33898,"192.168.1.108",2310,22,"192.168.1.102",18,1
2018-04-05 13:10:01,27,33892,"192.168.1.108",2310,22,"192.168.1.102",18,1
2018-04-05 13:10:01,27,33902,"192.168.1.108",2310,22,"192.168.1.102",18,1
2018-04-05 13:10:01,27,22,"192.168.1.102",3173,33904,"192.168.1.108",25,0
2018-04-05 13:10:01,27,33896,"192.168.1.108",2310,22,"192.168.1.102",18,1
2018-04-05 13:09:01,27,22,"192.168.1.102",3173,33884,"192.168.1.108",25,0
2018-04-05 13:09:01,27,33882,"192.168.1.108",2310,22,"192.168.1.102",18,1
2018-04-05 13:09:01,27,22,"192.168.1.102",3173,33872,"192.168.1.108",25,0
2018-04-05 13:09:01,27,33870,"192.168.1.108",2310,22,"192.168.1.102",18,1
2018-04-05 13:09:01,27,33876,"192.168.1.108",2310,22,"192.168.1.102",18,1
2018-04-05 13:03:01,27,22,"192.168.1.102",3173,33732,"192.168.1.108",25,0
2018-04-05 13:03:01,27,22,"192.168.1.102",3173,33736,"192.168.1.108",25,0
2018-04-05 13:03:01,27,22,"192.168.1.102",3173,33740,"192.168.1.108",25,0
2018-04-05 13:03:01,27,33744,"192.168.1.108",2310,22,"192.168.1.102",18,1
2018-04-05 13:03:01,27,33736,"192.168.1.108",2310,22,"192.168.1.102",18,1
2018-04-05 13:07:01,27,33840,"192.168.1.108",2310,22,"192.168.1.102",18,1
2018-04-05 13:07:01,0,52872,"216.58.206.194",3962,443,"192.168.1.108",12,0
2018-04-05 13:19:01,27,443,"192.168.1.108",64507,37104,"35.167.245.158",55,0
2018-04-05 13:19:01,19,443,"192.168.1.108",112,34686,"185.60.218.20",2,0
2018-04-05 13:19:01,30,37108,"35.167.245.158",6402,443,"192.168.1.108",74,0
2018-04-05 13:19:01,27,22,"192.168.1.102",3173,34130,"192.168.1.108",25,0
2018-04-05 13:19:01,27,443,"192.168.1.108",3297,51714,"91.189.94.12",9,0
2018-04-05 13:19:01,0,49594,"239.255.255.250",808,1900,"192.168.1.103",4,0
2018-04-05 13:19:01,27,443,"192.168.1.108",71057,41934,"31.13.92.14",60,0
2018-04-05 13:19:01,27,34130,"192.168.1.108",2310,22,"192.168.1.102",18,1
2018-04-05 13:19:01,0,49436,"216.58.206.194",4339,443,"192.168.1.108",6,0
2018-04-05 13:19:01,27,22,"192.168.1.102",3173,34112,"192.168.1.108",25,0
2018-04-05 13:19:01,27,51712,"91.189.94.12",1643,443,"192.168.1.108",10,0
2018-04-05 13:19:01,0,60499,"172.217.169.138",2231,443,"192.168.1.108",7,0
2018-04-05 13:19:01,27,443,"192.168.1.108",105220,37106,"35.167.245.158",83,0
2018-04-05 13:19:01,0,443,"192.168.1.108",4317,47787,"172.217.169.98",6,0
2018-04-05 13:19:01,27,22,"192.168.1.102",3173,34128,"192.168.1.108",25,0
2018-04-05 13:19:01,0,58326,"172.217.16.99",49422,443,"192.168.1.108",368,0
2018-04-05 13:19:01,27,51716,"91.189.94.12",1576,443,"192.168.1.108",9,0
2018-04-05 13:19:01,0,39826,"216.58.206.202",4342,443,"192.168.1.108",15,0
2018-04-05 13:19:01,27,34120,"192.168.1.108",2310,22,"192.168.1.102",18,1
2018-04-05 13:19:01,27,22,"192.168.1.102",3173,34120,"192.168.1.108",25,0
2018-04-05 13:19:01,27,34112,"192.168.1.108",2310,22,"192.168.1.102",18,1
2018-04-05 13:16:01,26,443,"192.168.1.108",3876,41062,"157.240.20.19",7,0
2018-04-05 13:16:01,27,22,"192.168.1.102",3173,34052,"192.168.1.108",25,0
2018-04-05 13:16:01,27,22,"192.168.1.102",3173,34058,"192.168.1.108",25,0
2018-04-05 13:16:01,30,41040,"157.240.20.19",1017,443,"192.168.1.108",8,0
2018-04-05 13:16:01,27,22,"192.168.1.102",3173,34048,"192.168.1.108",25,0
2018-04-05 13:16:01,27,34036,"192.168.1.108",2310,22,"192.168.1.102",18,1
2018-04-05 13:16:01,27,34054,"192.168.1.108",2326,22,"192.168.1.102",18,1
2018-04-05 13:16:01,27,22,"192.168.1.102",3173,34054,"192.168.1.108",25,0
2018-04-05 13:16:01,27,443,"192.168.1.108",6025,53734,"93.184.220.17",13,0
2018-04-05 13:16:01,30,41062,"157.240.20.19",1057,443,"192.168.1.108",9,0
2018-04-05 13:16:01,31,49202,"54.72.255.211",7183,443,"192.168.1.108",27,0
2018-04-05 13:16:01,27,22,"192.168.1.102",3173,34050,"192.168.1.108",25,0
2018-04-05 13:16:01,30,53734,"93.184.220.17",1391,443,"192.168.1.108",14,0
2018-04-05 13:18:01,0,53573,"216.58.209.164",3763,443,"192.168.1.108",11,0
2018-04-05 13:18:01,27,34090,"192.168.1.108",2310,22,"192.168.1.102",18,1
2018-04-05 13:18:01,27,34100,"192.168.1.108",2258,22,"192.168.1.102",17,1
2018-04-05 13:18:01,27,51598,"91.189.94.12",4825,443,"192.168.1.108",26,0
2018-04-05 13:18:01,0,443,"192.168.1.108",6937,53573,"216.58.209.164",11,0
2018-04-05 13:18:01,27,443,"192.168.1.108",7555,51606,"91.189.94.12",14,0
2018-04-05 13:18:01,27,51606,"91.189.94.12",4946,443,"192.168.1.108",16,0
2018-04-05 13:18:01,27,34092,"192.168.1.108",2310,22,"192.168.1.102",18,1
2018-04-05 13:18:01,27,34094,"192.168.1.108",2326,22,"192.168.1.102",18,1
2018-04-05 13:18:01,27,34104,"192.168.1.108",2310,22,"192.168.1.102",18,1
