"_source/host","_source/@timestamp","_source/netflow/in_pkts","_source/netflow/input_snmp","_source/netflow/output_snmp","_source/netflow/l4_dst_port","_source/netflow/in_bytes","_source/netflow/protocol","_source/netflow/version","_source/netflow/flowset_id","_source/netflow/ip_protocol_version","_source/netflow/ipv4_src_addr","_source/netflow/ipv4_dst_addr","_source/netflow/last_switched","_source/netflow/first_switched","_source/netflow/flow_seq_num","_source/netflow/l4_src_port","_source/netflow/tcp_flags","_source/@version","_source/netflow/ipv6_src_addr","_source/netflow/ipv6_dst_addr","Anomaly"
"127.0.0.1",2018-04-25 05:40:01,4,0,0,1900,800,17,9,1024,4,"192.168.1.109","239.255.255.250",2018-04-25 05:34:44,2018-04-25 05:34:41,3098,45806,0,1,NA,NA,0
"127.0.0.1",2018-04-25 05:40:01,4,0,0,1900,800,17,9,1024,4,"192.168.1.108","239.255.255.250",2018-04-25 05:34:46,2018-04-25 05:34:43,3098,55146,0,1,NA,NA,0
"127.0.0.1",2018-04-25 05:36:01,4,0,0,1900,800,17,9,1024,4,"192.168.1.108","239.255.255.250",2018-04-25 05:30:46,2018-04-25 05:30:43,3086,46366,0,1,NA,NA,0
"127.0.0.1",2018-04-25 05:38:01,4,0,0,1900,800,17,9,1024,4,"192.168.1.109","239.255.255.250",2018-04-25 05:32:44,2018-04-25 05:32:41,3092,48815,0,1,NA,NA,0
"127.0.0.1",2018-04-25 05:35:01,369,0,0,51069,504757,17,9,1024,4,"74.125.154.72","192.168.1.108",2018-04-25 05:29:32,2018-04-25 05:29:31,3077,443,0,1,NA,NA,0
"127.0.0.1",2018-04-25 05:41:01,13,0,0,5353,2075,17,9,1024,4,"192.168.1.105","224.0.0.251",2018-04-25 05:36:01,2018-04-25 05:27:41,3102,5353,0,1,NA,NA,0
"127.0.0.1",2018-04-25 05:33:01,1,0,0,772,576,1,9,1024,4,"192.168.1.1","192.168.1.108",2018-04-25 05:27:39,2018-04-25 05:27:39,3069,0,0,1,NA,NA,0
"127.0.0.1",2018-04-25 05:54:01,3,0,0,547,300,17,9,2048,6,NA,NA,2018-04-25 05:48:30,2018-04-25 05:48:27,3157,546,0,1,"fe80::61:8335:2a03:15c3","ff02::1:2",0
"127.0.0.1",2018-04-25 05:54:01,4,0,0,1900,800,17,9,1024,4,"192.168.1.108","239.255.255.250",2018-04-25 05:48:47,2018-04-25 05:48:44,3157,56825,0,1,NA,NA,0
"127.0.0.1",2018-04-25 05:54:01,4,0,0,1900,800,17,9,1024,4,"192.168.1.109","239.255.255.250",2018-04-25 05:48:44,2018-04-25 05:48:41,3157,37852,0,1,NA,NA,0
"127.0.0.1",2018-04-25 05:42:01,11,0,0,56189,6084,17,9,1024,4,"216.58.201.68","192.168.1.108",2018-04-25 05:36:38,2018-04-25 05:36:38,3106,443,0,1,NA,NA,0
"127.0.0.1",2018-04-25 05:42:01,11,0,0,443,8185,17,9,1024,4,"192.168.1.108","216.58.206.174",2018-04-25 05:36:59,2018-04-25 05:36:44,3113,59359,0,1,NA,NA,0
"127.0.0.1",2018-04-25 05:42:01,11,0,0,53567,3012,17,9,1024,4,"172.217.169.130","192.168.1.108",2018-04-25 05:36:38,2018-04-25 05:36:34,3106,443,0,1,NA,NA,0
"127.0.0.1",2018-04-25 05:42:01,14,0,0,443,4468,17,9,1024,4,"192.168.1.108","172.217.17.162",2018-04-25 05:36:33,2018-04-25 05:36:33,3106,38029,0,1,NA,NA,0
"127.0.0.1",2018-04-25 05:42:01,20,0,0,38225,17683,17,9,1024,4,"172.217.169.150","192.168.1.108",2018-04-25 05:36:48,2018-04-25 05:36:33,3113,443,0,1,NA,NA,0
"127.0.0.1",2018-04-25 05:42:01,17,0,0,443,6456,17,9,1024,4,"192.168.1.108","172.217.169.150",2018-04-25 05:36:48,2018-04-25 05:36:33,3113,38225,0,1,NA,NA,0
"127.0.0.1",2018-04-25 05:43:01,1,0,0,771,168,1,9,1024,4,"192.168.1.111","192.168.1.1",2018-04-25 05:38:00,2018-04-25 05:38:00,3118,0,0,1,NA,NA,0
"127.0.0.1",2018-04-25 05:43:01,1,0,0,59621,140,17,9,1024,4,"8.8.8.8","192.168.1.111",2018-04-25 05:38:00,2018-04-25 05:38:00,3118,53,0,1,NA,NA,0
"127.0.0.1",2018-04-25 05:43:01,1,0,0,59621,140,17,9,1024,4,"192.168.1.1","192.168.1.111",2018-04-25 05:38:00,2018-04-25 05:38:00,3118,53,0,1,NA,NA,0
"127.0.0.1",2018-04-25 05:43:01,135,0,0,44217,65876,17,9,1024,4,"216.58.206.174","192.168.1.108",2018-04-25 05:37:43,2018-04-25 05:36:12,3118,443,0,1,NA,NA,0
"127.0.0.1",2018-04-25 05:49:01,80,0,0,443,8108,17,9,1024,4,"192.168.1.108","74.125.154.106",2018-04-25 05:43:05,2018-04-25 05:43:04,3142,58558,0,1,NA,NA,0
"127.0.0.1",2018-04-25 05:49:01,110,0,0,44004,22356,6,9,1024,4,"162.125.18.133","192.168.1.108",2018-04-25 05:43:40,2018-04-25 04:47:29,3142,443,27,1,NA,NA,0
"127.0.0.1",2018-04-25 05:44:01,4,0,0,1900,800,17,9,1024,4,"192.168.1.111","239.255.255.250",2018-04-25 05:38:47,2018-04-25 05:38:44,3126,33782,0,1,NA,NA,0
"127.0.0.1",2018-04-25 05:44:01,4,0,0,1900,800,17,9,1024,4,"192.168.1.109","239.255.255.250",2018-04-25 05:38:45,2018-04-25 05:38:42,3126,36110,0,1,NA,NA,0
"127.0.0.1",2018-04-25 05:51:01,1847,0,0,33151,2536416,17,9,1024,4,"74.125.154.106","192.168.1.108",2018-04-25 05:45:04,2018-04-25 05:43:34,3147,443,0,1,NA,NA,0
"127.0.0.1",2018-04-25 05:52:01,1318,0,0,40134,1808136,17,9,1024,4,"74.125.154.106","192.168.1.108",2018-04-25 05:46:35,2018-04-25 05:45:34,3148,443,0,1,NA,NA,0
"127.0.0.1",2018-04-25 05:42:01,9,0,0,443,4186,17,9,1024,4,"192.168.1.108","172.217.169.130",2018-04-25 05:36:38,2018-04-25 05:36:34,3106,53567,0,1,NA,NA,0
"127.0.0.1",2018-04-25 05:56:01,4,0,0,1900,800,17,9,1024,4,"192.168.1.109","239.255.255.250",2018-04-25 05:50:45,2018-04-25 05:50:42,3178,58305,0,1,NA,NA,0
"127.0.0.1",2018-04-25 05:56:01,4,0,0,5353,644,17,9,1024,4,"192.168.1.105","224.0.0.251",2018-04-25 05:50:14,2018-04-25 05:50:10,3169,5353,0,1,NA,NA,0
"127.0.0.1",2018-04-25 05:56:01,4,0,0,5353,724,17,9,2048,6,NA,NA,2018-04-25 05:50:14,2018-04-25 05:50:10,3169,5353,0,1,"fe80::cd2:6e12:f144:c51c","ff02::fb",0
"127.0.0.1",2018-04-25 05:56:01,9,0,0,41292,2054,17,9,1024,4,"172.217.17.195","192.168.1.108",2018-04-25 05:50:58,2018-04-25 05:50:43,3178,443,0,1,NA,NA,0
"127.0.0.1",2018-04-25 05:56:01,951,0,0,60009,1303305,17,9,1024,4,"74.125.154.106","192.168.1.108",2018-04-25 05:50:35,2018-04-25 05:50:05,3169,443,0,1,NA,NA,0
"127.0.0.1",2018-04-25 05:56:01,142,0,0,443,14859,17,9,1024,4,"192.168.1.108","74.125.154.106",2018-04-25 05:50:35,2018-04-25 05:50:05,3169,60009,0,1,NA,NA,0
"127.0.0.1",2018-04-25 05:55:01,952,0,0,47230,1303860,17,9,1024,4,"74.125.154.106","192.168.1.108",2018-04-25 05:49:04,2018-04-25 05:48:33,3166,443,0,1,NA,NA,0
"127.0.0.1",2018-04-25 05:55:01,404,0,0,60211,551764,17,9,1024,4,"74.125.154.106","192.168.1.108",2018-04-25 05:49:34,2018-04-25 05:49:33,3166,443,0,1,NA,NA,0
"127.0.0.1",2018-04-25 05:55:01,10,0,0,443,5797,17,9,1024,4,"192.168.1.108","172.217.169.110",2018-04-25 05:49:57,2018-04-25 05:49:42,3166,49131,0,1,NA,NA,0
"127.0.0.1",2018-04-25 06:02:01,147,0,0,443,15238,17,9,1024,4,"192.168.1.108","74.125.154.106",2018-04-25 05:56:04,2018-04-25 05:55:33,3197,51935,0,1,NA,NA,0
"127.0.0.1",2018-04-25 06:02:01,9,0,0,54538,4248,6,9,1024,4,"162.125.32.135","192.168.1.108",2018-04-25 05:59:39,2018-04-25 05:41:56,3197,443,27,1,NA,NA,0
